OrdemBancaria,DatadoPagamento,DocumentodeLiquidacao,CodigoUnidadeGestora,NomeUsuarioQueCriou,Finalidade,Valor
2023160101OB00510,31/01/2023,2023160101DL000492,160101,FABRICIO FARIAS MACHADO,PAGAMENTO REFERENTE A FOLHA NORMAL (1) DE PESSOAL JANEIRO/2023,"R$ 2,631.00"
2023160101OB00511,13/02/2023,2023160101DL000462,160101,PEDRO GOMES DA SILVA JUNIOR,PGTO RETENÇÃO ISS NFSE 245-PARAUAPEBAS DEZEMBRO/22,"R$ 16,876.01"
2023160101OB00512,31/01/2023,2023160101DL000494,160101,FABRICIO FARIAS MACHADO,PAGAMENTO REFERENTE A FOLHA NORMAL (1) DE PESSOAL JANEIRO/2023,R$ 852.22
2023160101OB00513,13/02/2023,2023160101DL000496,160101,VANESSA FERREIRA SOARES,"PGTO. REF. A AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS,NF 3920/22, EDUCAÇÃO BÁSICA, MUNICÍPIO DE BANNACH E CUMARU DO NORTE/PA.CTO:143/2022.CONFORME AUTORIZO SUPERIOR NA SEQ.89.","R$ 31,251.54"
2023160101OB00514,31/01/2023,2023160101DL000497,160101,FABRICIO FARIAS MACHADO,PAGAMENTO REFERENTE A FOLHA NORMAL (1) DE PESSOAL JANEIRO/2023,R$ 568.15
2023160101OB00515,31/01/2023,2023160101DL000507,160101,FABRICIO FARIAS MACHADO,PAGAMENTO REFERENTE A FOLHA NORMAL (1) DE PESSOAL JANEIRO/2023,"R$ 10,023.31"
2023160101OB00516,31/01/2023,2023160101DL000509,160101,FABRICIO FARIAS MACHADO,PAGAMENTO REFERENTE A FOLHA NORMAL (1) DE PESSOAL JANEIRO/2023,R$ 500.00
2023160101OB00517,31/01/2023,2023160101DL000514,160101,FABRICIO FARIAS MACHADO,PAGAMENTO REFERENTE A FOLHA NORMAL (1) DE PESSOAL JANEIRO/2023,"R$ 68,954.07"
2023160101OB00518,14/02/2023,2023160101DL000525,160101,FRANCISCO CARLOS COSTA DA SILVA,PAG.IR DO MESE DE DEZEMBRO/22 CTO.078/21,R$ 212.80
2023160101OB00519,14/02/2023,2023160101DL000536,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO IRRF LOCAÇÃO CTO. 060/2020,"R$ 4,021.32"
2023160101OB00520,14/02/2023,2023160101DL000537,160101,ELISANDRA CRISTINA COSTA RODRIGUES,LIQUIDAÇÃO IRRF LOCAÇÃO CTO. 246/2022,"R$ 7,380.64"
2023160101OB00521,14/02/2023,2023160101DL000525,160101,FRANCISCO CARLOS COSTA DA SILVA,#null,-R$ 212.80
2023160101OB00522,14/02/2023,2023160101DL000525,160101,FRANCISCO CARLOS COSTA DA SILVA,PAGAMENTO IRRF LOCAÇÃO CTO. 078/2021,R$ 212.80
2023160101OB00523,14/02/2023,2023160101DL000624,160101,FABIANO MOURA DE VASCONCELOS,PGTO DE DIARIA CF PRD 92422 PERIODO DE 11 A 14/02/23,R$ 830.83
2023160101OB00524,14/02/2023,2023160101DL000630,160101,FRANCISCO CARLOS COSTA DA SILVA,PAG.DEZEMBRO/22 CTO.001/2010 REF.COMPLEMENTO NE11176,R$ 20.00
2023160101OB00526,14/02/2023,2022160101DL000004,160101,PEDRO GOMES DA SILVA JUNIOR,pgto.restos a pagar -registrado pela 2022ne00275 dezembro/22,R$ 255.60
2023160101OB00527,14/02/2023,2022160101DL000003,160101,PEDRO GOMES DA SILVA JUNIOR,"pgto restos a pagar, registrado pela 2022 NE.00274, dez/2022","R$ 9,348.17"
2023160101OB00528,14/02/2023,2023160101DL000635,160101,ROSEMARY SANTOS DOS REIS,PAGTO .REF. A FOLHA DE PESSOAL DE JANEIRO/2023-FOLHA N 10,R$ 623.13
2023160101OB00529,14/02/2023,2023160101DL000635,160101,ROSEMARY SANTOS DOS REIS,#null,-R$ 623.13
2023160101OB00530,14/02/2023,2022160101DL000009,160101,FABIANO MOURA DE VASCONCELOS,"Restos a pagar, registrado pela 2022 NE.09331, dez/2022","R$ 15,515.02"
2023160101OB00531,14/02/2023,2022160101DL000008,160101,FABIANO MOURA DE VASCONCELOS,RESTOS A PAGAR REGISTRADO PELA 2022NE09325 DEZ/22,"R$ 44,984.81"
2023160101OB00532,15/02/2023,2023160101DL000635,160101,ROSEMARY SANTOS DOS REIS,PAGTO REF. FOLHA DE PESSOAL DE JANEIRO/2023- N 10,R$ 623.13
 , ,2023160101DL000636,160101,ROSEMARY SANTOS DOS REIS,PAGTO REF. FOLHA DE PESSOAL DE JANEIRO/2023- N 10,"R$ 3,298.94"
 , ,2023160101DL000637,160101,ROSEMARY SANTOS DOS REIS,PAGTO REF. FOLHA DE PESSOAL DE JANEIRO/2023- N 10,"R$ 1,008.01"
2023160101OB00533,15/02/2023,2023160101DL000272,160101,FABIANO MOURA DE VASCONCELOS,PGTO REF RET ISS,"R$ 1,145.27"
2023160101OB00534,15/02/2023,2023160101DL000137,160101,FRANCISCO CARLOS COSTA DA SILVA,PAG.DEZEMBRO/22 CTO.014/22,"R$ 10,595.49"
