OrdemBancaria,DatadoPagamento,DocumentodeLiquidacao,CodigoUnidadeGestora,NomeUsuarioQueCriou,Finalidade,Valor
2025160101OB00058,15/01/2025,2025160101DL000041,160101,GENNYSON CLAUDIO PINTO BARBOSA,PGTO.RET.INSS.NF.3267.,"R$ 36,929.83"
2025160101OB00059,15/01/2025,2025160101DL000053,160101,ELIANE CRISTINA DA CUNHA LEAL,"LIQUIDAÇÃO EM RESTOS A PAGAR, REFERENTE A DEZEMBRO/2024, PELA PRESTAÇÃO DE SERVIÇO NAS ESCOLAS EEEM RAIMUNDO LAUREANO; EEEM PRESIDENTE CASTELO",R$ 249.55
2025160101OB00060,15/01/2025,2025160101DL000007,160101,LUIZ GERALDO FERREIRA CARDOSO,IR.,"R$ 8,995.79"
2025160101OB00061,15/01/2025,2025160101DL000018,160101,FABIANO MOURA DE VASCONCELOS,"PGTO NFSE's 2097, 2098 E 2099 REF SET/24 CF CTO 166/2022","R$ 159,237.27"
 , ,2025160101DL000019,160101,FABIANO MOURA DE VASCONCELOS,"PGTO NFSE's 2097, 2098 E 2099 REF SET/24 CF CTO 166/2022","R$ 43,672.59"
 , ,2025160101DL000021,160101,FABIANO MOURA DE VASCONCELOS,"PGTO NFSE's 2097, 2098 E 2099 REF SET/24 CF CTO 166/2022","R$ 255,557.54"
2025160101OB00062,15/01/2025,2025160101DL000018,160101,FABIANO MOURA DE VASCONCELOS,ISS,"R$ 8,380.91"
2025160101OB00063,15/01/2025,2024160101DL019256,160101,GENNYSON CLAUDIO PINTO BARBOSA,PGTO.REF.NF.8632.RESSARCIMENTO.CT158/18.,"R$ 154,435.67"
2025160101OB00064,15/01/2025,2025160101DL000019,160101,FABIANO MOURA DE VASCONCELOS,ISS,"R$ 2,298.56"
2025160101OB00065,15/01/2025,2025160101DL000058,160101,EULLER ADRIANO QUEIROZ LIMA,"PGT KAPA, OUTUBRO DE 2024, CONTRATO 229/18, NF 11713649,11713651,11713852 E 11713653. PROCESSO: 1242056","R$ 382,434.45"
2025160101OB00066,15/01/2025,2025160101DL000021,160101,FABIANO MOURA DE VASCONCELOS,ISS,"R$ 13,450.40"
2025160101OB00067,15/01/2025,2025160101DL000036,160101,LUIZ GERALDO FERREIRA CARDOSO,IR.,R$ 20.01
2025160101OB00068,15/01/2025,2025160101DL000024,160101,FABIANO MOURA DE VASCONCELOS,"PGTO NFSE'S 2100, 2101 E 2102 REF OUT/24 CF CTO 166/2022","R$ 87,167.29"
 , ,2025160101DL000025,160101,FABIANO MOURA DE VASCONCELOS,"PGTO NFSE'S 2100, 2101 E 2102 REF OUT/24 CF CTO 166/2022","R$ 61,703.70"
 , ,2025160101DL000026,160101,FABIANO MOURA DE VASCONCELOS,"PGTO NFSE'S 2100, 2101 E 2102 REF OUT/24 CF CTO 166/2022","R$ 328,792.64"
2025160101OB00069,15/01/2025,2025160101DL000024,160101,FABIANO MOURA DE VASCONCELOS,ISS,"R$ 4,587.75"
2025160101OB00070,15/01/2025,2025160101DL000030,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR.,"R$ 7,042.89"
2025160101OB00071,15/01/2025,2025160101DL000056,160101,ELIANE CRISTINA DA CUNHA LEAL,"PAGAMENTO EM EM RESTOS A PAGAR, REFERENTE A DEZEMBRO/2024, PELA PRESTAÇÃO DE SERVIÇO NAS ESCOLAS E.E. JOSÉ ATAÍDE DA SILVA; E.E. JÚPITER MAIA (ANEXO); E.E. ABEL OVIDIO DE CAMPOS; E.E. JÚPITER MAIA; E.E. MARIA H. PINTO FERREIRA; E.E. GONÇALO FERREIRA","R$ 7,721.22"
2025160101OB00072,15/01/2025,2025160101DL000025,160101,FABIANO MOURA DE VASCONCELOS,ISS,"R$ 3,247.56"
2025160101OB00073,15/01/2025,2025160101DL000030,160101,LUIZ GERALDO FERREIRA CARDOSO,IR.,"R$ 1,221.33"
2025160101OB00074,15/01/2025,2025160101DL000026,160101,FABIANO MOURA DE VASCONCELOS,ISS,"R$ 17,304.88"
2025160101OB00075,15/01/2025,2025160101DL000045,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR,"R$ 20,579.54"
2025160101OB00076,15/01/2025,2025160101DL000064,160101,FABIANO MOURA DE VASCONCELOS,"PGTO FATURAS: 104789, 104796, 104790, 104800 E 104804 REF PASSAGENS AEREAS CF CTO 045/2023","R$ 31,929.88"
2025160101OB00077,15/01/2025,2025160101DL000045,160101,LUIZ GERALDO FERREIRA CARDOSO,IR.,"R$ 6,355.93"
2025160101OB00078,15/01/2025,2025160101DL000050,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR.,R$ 658.93
2025160101OB00079,15/01/2025,2024160101DL019247,160101,EULLER ADRIANO QUEIROZ LIMA,"PGT LG, OUTUBRO DE 2024, CONTRATO 203/18, NF 13609/24. PROCESSO: 2431654/24.","R$ 1,070,049.99"
2025160101OB00080,15/01/2025,2025160101DL000022,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR.,"R$ 2,978.97"
2025160101OB00081,15/01/2025,2025160101DL000022,160101,LUIZ GERALDO FERREIRA CARDOSO,IR.,R$ 76.94
2025160101OB00082,15/01/2025,2024160101DL019246,160101,EULLER ADRIANO QUEIROZ LIMA,"PGT LG, OUTUBRO DE 2024, CONT: 203/18, NF 13610/24. PROCESSO: 2431654/24.","R$ 277,547.65"
2025160101OB00083,15/01/2025,2025160101DE000001,160101,FABIANO MOURA DE VASCONCELOS,IRRF,"R$ 7,588.80"
2025160101OB00084,16/01/2025,2025160101DL000060,160101,TATIANE IBIAPINA TEIXEIRA,"PGTO DA NF: 12421/2024, REF. AO FORNECIMENTO DE MERENDA ESCOLAR NAS ESCOLAS DA REGIÃO DO GUAJARÁ, LOTE:06, ATENDENDO OS PROGRAMAS: AEE, FUND, EJA, MÉDIO E T.INTEGRAL, PLANO INTERNO: 101008477C, AÇÃO: 282.882, CTO. 054/2024, CONSIDERANDO O ATESTO DO FISCAL NA ENTREGA DA MERENDA, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR PARA PAGAMENTO.","R$ 141,926.15"
2025160101OB00085,16/01/2025,2025160101DL000063,160101,TATIANE IBIAPINA TEIXEIRA,"PGTO DA NF: 12422/2024, REF. AO FORNECIMENTO DE MERENDA ESCOLAR NAS ESCOLAS DA REGIÃO DO GUAJARÁ, LOTE:06, ATENDENDO OS PROGRAMAS: AEE, FUND, EJA, MÉDIO E T.INTEGRAL, PLANO INTERNO: 101008477C, AÇÃO: 282.882, CTO. 054/2024, CONSIDERANDO O ATESTO DO FISCAL NA ENTREGA DA MERENDA, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR PARA PAGAMENTO.","R$ 36,395.40"
2025160101OB00086,16/01/2025,2025160101DL000068,160101,PAULO JORGE BRITO BORGES,PGT.REF.CONT.230/18;NF.27021; RESTOS A PG PROCESSADOS; 11 DIAS DE OUT/24. PROC.1241994/24,"R$ 28,159.00"
2025160101OB00087,16/01/2025,2025160101DL000067,160101,PAULO JORGE BRITO BORGES,LIQ.REF.CONT.230/18;NF.27020; RESTOS A PG PROCESSADOS; 11 DIAS DE OUT/24. PROC.1241994/24,R$ 686.37
2025160101OB00088,16/01/2025,2024160101DL019117,160101,TATIANE IBIAPINA TEIXEIRA,"PGTO NF: 358/2024 REF. 11º MEDIÇÃO DA EXECUÇÃO DE OBRA DE CONCLUSÃO DA CONSTRUÇÃO DA ESCOLA ESTADUAL DE 12 SALAS DE AULA NO MUNICÍPIO DE RONDON DO PARÁ, CTO N° 74/2022. CONSIDERANDO O ATESTO DO FISCAL NO SERVIÇO PRESTADO, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR PARA PAGAMENTO.","R$ 649,256.39"
2025160101OB00089,16/01/2025,2024160101DL019120,160101,PAULO JORGE BRITO BORGES,PGT.CONT.201/18;NF.7290E 7291;RESTOS A PG PROC;ENS. FUNDAM/SET/24. PROC.1107991/24,"R$ 834,660.19"
2025160101OB00090,16/01/2025,2024160101DL019119,160101,PAULO JORGE BRITO BORGES,PGT.CONT.201/18;NF. 7292;RESTOS A PG PROC;ENS. MÉDIO/SET/24. PROC.1107991/24,"R$ 513,442.92"
2025160101OB00091,16/01/2025,2024160101DL019118,160101,TATIANE IBIAPINA TEIXEIRA,"PGTO NF: 40/24, RETENÇÃO IRRF E ISS, REF. A 7º MEDIÇÃO DOS SERVIÇOS DE CONCLUSÃO DA CONSTRUÇÃO DA NOVA ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO, COM 12 SALAS, LOCALIZADA NO MUNICÍPIO DE SÃO FELIX DO XINGÚ-PA, CTO.312/22, CONFORME O ATESTO DO FISCAL NO SERVÇO PRESTADO, CONFORMIDADE DO NCI E AUTORIZO PARA PAGAMENTO DO SECRETÁRIO ADJUNTO DE INFRAESTRUTURA.","R$ 279,001.34"
2025160101OB00092,16/01/2025,2025160101DL000072,160101,Marcos Roberto Nascimento da Silva,"PGTO. NF: 388/2024 REF. AQUISIÇÃO DE MERENDA ESCOLAR, PLANO INTERNO 1010008477C, ACAO 282.882, FUNCIONAL PROGRAMA 16101.12.306.1511, REGIÃO DE INTEGRAÇÃO GUAJARÁ, ATENDENDO PNAE- AEE, FUND., EJA, MÉDIO E T.I.. CONTRATO 021/2023. CONSIDERANDO O ATESTO DO FISCAL NA ENTREGA DO PRODUTO, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR.","R$ 49,577.50"
2025160101OB00093,16/01/2025,2024160101DL019073,160101,GENNYSON CLAUDIO PINTO BARBOSA,PGTO.RET. INSS.NF.8631.,"R$ 21,449.40"
2025160101OB00094,16/01/2025,2025160101DL000084,160101,EULLER ADRIANO QUEIROZ LIMA,"PGT KAPA, 02/08 A 30/08, NF 11713620/24, CONTRATO 062/24. PROCESSO: 11713620/24.","R$ 166,700.95"
2025160101OB00095,16/01/2025,2025160101DL000084,160101,EULLER ADRIANO QUEIROZ LIMA,"PGT INSS, KAPA, OUTUBRO DE 2024, NF 11713620/24, CONTRATO: 062/24. PROCESSO: 2590478/24.","R$ 23,152.91"
2025160101OB00096,16/01/2025,2024160101DL019116,160101,FABRICIO FARIAS MACHADO,"PAGAMENTO RESTOS PROCESSADOS DE ENCARGOS, IRRF, DA FOLHA 21 DE AGOSTO 2024","R$ 1,305.24"
